,Y
5690,1
7006,0
1995,1
508,0
10471,1
2036,1
49,1
7503,1
6518,0
10304,0
10667,0
7695,1
10317,1
6461,1
11756,0
6796,1
10087,1
179,1
38,0
8887,0
8327,1
4424,0
4284,1
65,0
8732,0
11151,1
5172,0
4807,1
444,1
8243,1
2853,1
4946,1
2900,1
1797,1
6031,1
1536,0
3696,1
8212,1
6338,0
7519,0
7965,0
6919,1
5640,0
12127,1
3925,0
667,1
10970,0
7626,0
8098,0
8975,1
2958,1
8480,0
7567,1
3184,0
11597,1
7071,1
5889,1
895,0
8803,0
12444,0
11798,1
825,0
4516,0
1141,0
3986,0
10630,1
1850,0
6620,0
4162,0
4770,0
6192,1
12114,1
9714,1
11651,1
5911,1
11181,1
921,1
878,1
1482,1
1123,1
1374,1
3464,0
87,0
6315,1
1469,1
1944,0
12415,0
6137,1
9432,1
143,1
4001,1
1195,0
5063,1
9255,0
1285,0
7113,1
11631,1
1866,1
9838,1
4713,0
935,1
11123,0
2434,1
6764,1
1804,1
9642,1
6178,1
1044,0
738,0
9615,0
11525,1
9805,0
9834,0
9427,0
1824,0
10008,0
7095,1
4772,1
2268,0
4492,1
3663,0
2685,0
6207,1
6982,1
6616,1
7301,1
7046,1
2516,1
6392,0
1831,1
10819,0
8534,0
9572,1
9677,0
1033,0
9431,1
6685,1
3153,1
10231,1
6850,0
11523,1
4719,1
8633,0
6808,1
4072,1
6837,1
5205,0
4892,1
7482,1
1166,1
6864,0
5048,1
2939,1
4401,0
4555,1
8701,0
8662,1
3613,1
10082,1
627,1
2189,0
6730,1
7017,0
5895,1
3348,0
831,0
10177,1
4148,1
10196,0
281,1
7037,1
5359,0
5840,0
5101,0
11936,1
11237,0
2279,0
6828,0
7948,0
5843,1
9747,1
1332,1
9876,1
7944,1
9487,0
5786,0
6082,1
1456,0
1884,1
254,0
11930,1
7570,1
317,0
2453,1
137,1
3323,1
12292,1
3443,1
1065,0
9578,0
10855,1
4676,0
10519,0
10808,0
4398,0
1189,1
10708,0
388,0
6038,1
6881,1
4477,0
8562,0
2490,1
9951,1
866,1
11450,0
12223,0
1084,1
1587,1
4749,0
1326,1
158,1
3806,0
216,1
11324,0
8848,1
3385,0
9229,0
3800,0
3766,1
11332,1
2293,1
8105,1
3844,0
9524,1
9990,1
1759,0
3306,1
805,0
1336,0
10103,1
747,1
9612,0
4379,0
8484,1
5040,1
10325,1
5845,1
4017,0
5124,1
916,1
975,1
5987,0
3842,1
8835,0
2899,1
2608,0
11176,0
9443,0
2375,1
2427,0
7375,1
3410,0
4367,0
1768,0
2507,1
2044,0
5023,0
6582,1
3590,1
3553,1
2983,1
4628,0
428,1
3637,1
3114,1
4299,1
11323,0
9526,1
185,1
7236,0
7291,1
1733,0
10374,0
5373,1
1910,0
863,1
435,0
1309,1
8090,1
6631,1
6284,1
7214,0
10754,1
11516,1
5419,0
4805,1
4423,0
4951,0
1485,1
7576,0
376,1
12022,1
5165,1
7050,0
8433,0
4076,0
5573,0
618,1
7950,0
7491,1
9476,0
3453,1
9895,0
5863,0
2706,1
6640,0
10367,0
9921,0
2570,1
5459,0
10124,0
3326,0
11837,0
6576,1
1917,1
7016,0
7672,1
6503,1
5519,0
4178,1
7088,1
11530,0
9715,1
1714,0
5750,1
5271,1
7304,1
8264,1
867,0
147,0
8741,0
12356,1
4033,0
10966,1
5315,0
2059,0
5496,1
6999,0
7636,1
11041,1
1955,0
1116,1
5875,1
12119,0
11680,0
11601,1
4232,1
4906,1
2797,0
5095,0
11058,0
9672,0
9285,0
766,1
1931,1
5065,1
7815,1
5799,0
896,1
864,1
8549,1
10134,1
12040,1
2840,1
11105,1
4565,1
10484,1
10157,1
11090,1
12354,1
11238,0
1715,0
10895,0
6945,0
1362,1
8759,0
10883,0
12277,1
1249,1
7180,1
5692,0
9941,1
8359,0
7329,0
8425,1
629,0
2743,1
1571,0
1223,1
544,0
7842,1
1936,0
9059,0
2048,1
10742,1
10678,0
8444,0
5582,1
10261,0
9145,1
12318,0
12679,1
525,1
8413,1
7911,1
3402,1
7186,1
3723,1
10462,0
9894,0
8282,1
7686,0
9326,1
8468,1
1710,1
1986,1
7405,1
11134,1
8457,1
1037,0
3760,1
10426,1
12034,0
7940,1
6525,1
2389,0
2678,1
10273,1
5243,0
5291,1
9821,0
6973,0
2448,0
6800,0
1774,0
10585,0
4747,1
10842,1
8139,0
9092,1
1086,1
2404,0
2097,1
3571,1
496,1
1957,0
9645,1
11879,0
4315,1
5,1
7566,1
3056,0
11273,1
1812,0
9904,0
4977,1
12341,0
4216,1
3100,1
11609,1
9828,1
4890,1
2530,0
440,0
6825,0
2549,1
472,1
4802,0
5319,1
9819,0
4795,1
3977,0
12435,0
7150,1
1755,1
7041,1
2218,1
6783,1
1661,0
6924,0
8256,0
7381,0
743,1
1815,1
2758,1
4696,1
10868,1
12636,0
1888,1
10794,1
12411,0
3000,1
5946,0
3953,0
1112,0
2480,1
12413,0
5083,1
4463,0
11220,0
10357,1
8860,0
4237,1
7312,0
2991,0
2501,1
420,1
156,1
7694,1
9335,0
11436,1
12081,1
11794,0
1127,0
11592,1
11574,1
1395,1
10225,1
3928,1
1633,0
2237,0
12089,1
407,1
11656,1
9111,1
3315,0
9319,1
1314,1
12265,1
1538,1
7178,1
10235,1
7882,1
7545,1
5475,0
7253,1
7231,0
7060,0
1547,1
2770,0
12342,0
12006,1
11889,1
11002,1
6446,0
1808,1
3160,0
1159,0
12466,1
9113,1
12082,1
3787,1
12523,0
7244,1
7912,1
11072,1
7289,1
1675,1
4060,0
8710,0
8138,0
3152,0
283,0
1013,1
1388,1
12385,0
6849,1
5963,1
484,1
3524,1
8720,1
3247,1
162,0
1589,1
8968,1
767,1
7814,1
8815,1
4936,0
1034,1
10780,1
473,1
11439,1
11043,1
6227,0
8557,0
1525,1
1837,1
11169,0
3086,0
2126,1
6778,1
12511,1
7621,1
1691,0
9814,1
3650,1
9601,0
11665,1
11419,1
3972,0
9357,0
3154,1
2161,1
2909,1
12507,0
10526,0
12375,1
3716,0
8733,0
8051,0
2178,1
182,1
7229,0
3069,0
20,0
11734,0
12638,0
7907,1
11269,1
12307,0
9157,1
10941,0
4228,1
5433,1
2104,1
6413,1
11184,0
6427,1
7109,1
2856,1
9923,1
11118,0
11399,1
6887,1
3888,1
5571,0
8044,1
10889,1
12352,1
7225,0
5147,0
5788,1
10143,1
7675,1
12190,1
8750,0
553,0
778,1
9301,0
3913,1
9929,1
2577,0
7688,0
8013,1
11129,1
6123,1
844,1
1303,1
6248,0
12660,0
6694,0
9169,0
8300,1
6458,1
543,1
7685,1
3927,0
9195,1
5481,0
12468,1
7247,0
9276,1
4219,0
1502,1
5179,0
8923,1
6052,1
685,1
475,0
971,1
11492,1
10899,0
7773,1
6581,0
9902,0
7807,1
7577,0
9586,0
311,1
7435,0
8065,0
842,0
11613,0
1939,1
9496,0
3826,0
12675,0
7759,1
10181,0
7473,0
326,1
11570,1
1722,0
12219,1
3175,1
11173,0
2204,0
8612,0
11079,0
12251,1
9156,1
3444,1
8299,1
11865,0
6820,0
9187,0
914,1
151,0
6342,0
9605,0
6075,1
11844,0
11785,1
11578,1
6314,1
212,1
4393,1
11405,1
8451,1
5047,1
10457,1
3209,0
11086,1
7490,0
11363,0
796,0
4821,1
1019,1
10153,1
5614,0
12078,1
8072,0
172,1
6847,1
9324,1
5119,0
9491,0
12447,0
6343,0
7699,0
22,1
10640,1
6627,1
7826,0
7325,1
2949,1
7230,0
9129,0
8288,1
1168,1
9875,1
3545,1
3138,1
9065,1
10126,0
3479,0
8218,0
11461,0
7583,1
7707,1
9389,1
10971,1
4905,0
3498,1
786,0
12404,0
3900,0
3424,1
7549,0
4418,0
8164,0
6321,1
461,1
10749,1
1904,1
6755,0
286,0
798,1
642,1
6541,1
152,1
5489,0
10561,0
4048,1
12156,0
908,1
4737,0
3682,1
5745,1
897,0
7507,1
9793,1
8931,1
10071,0
1916,1
10621,1
4766,1
2468,0
9891,0
11796,0
6263,1
10230,1
1371,1
10645,0
2088,0
3261,1
3065,1
5613,0
11185,1
276,0
6485,0
8289,1
7924,1
318,0
709,0
3557,0
11558,0
12461,1
11725,0
9737,0
2796,1
794,1
1284,0
506,1
4390,1
10047,1
5744,1
7020,1
8884,1
6597,1
10684,0
6168,1
3297,1
8679,1
5928,1
8029,1
3581,1
8187,1
2150,1
2398,0
9697,0
186,1
2747,0
2253,0
11069,0
5905,1
3935,0
962,0
6326,0
7563,1
10370,0
1479,1
4978,1
2111,0
5114,1
10233,1
1542,1
11546,0
5365,1
2160,1
3987,1
8418,1
10067,0
8285,1
7721,0
811,1
1940,0
6381,0
2112,0
3034,0
3895,1
2229,0
8774,0
10502,0
5198,0
3433,1
2559,1
9130,0
3726,1
10329,1
6929,1
7497,1
4771,0
2381,0
12558,0
10897,1
6966,1
3343,1
7691,1
11959,1
3029,0
2929,1
72,1
6823,1
5155,0
8638,0
3625,1
4456,0
3989,1
4644,0
2631,0
8360,1
2196,1
2012,1
6225,0
7634,0
12246,1
8850,0
8432,0
6371,0
10411,1
7149,0
12159,0
7103,0
9540,1
9385,0
5354,0
2294,1
12031,0
872,0
9495,0
1142,0
155,0
8619,0
2769,0
9722,1
8475,0
5225,0
9234,1
11617,1
6264,1
10003,0
3181,0
829,1
3947,0
2149,1
9250,0
7159,1
5407,1
11871,0
4613,1
1513,0
10862,1
2505,0
7538,0
11812,0
1074,1
11199,1
10926,0
11552,1
697,1
2620,1
5586,0
3786,1
3822,1
12268,0
6191,0
2784,1
2041,0
1108,1
9723,0
29,1
700,0
1621,1
4896,0
9067,1
6439,1
9226,0
7038,1
10613,0
8471,1
4007,1
12244,0
12378,1
11748,0
2462,1
1879,1
4375,0
3820,0
1977,0
10725,1
5606,1
2755,0
217,1
3919,1
1625,1
12206,0
6906,0
11153,0
3222,0
8724,1
5228,0
5920,0
1448,0
3950,1
11115,1
7099,0
1953,1
2339,0
11544,1
10498,1
8188,1
9233,1
8748,0
3352,1
7836,0
514,1
3314,1
1277,0
92,1
10539,0
8584,0
1848,1
11736,1
6114,0
3812,0
3435,1
3194,1
2191,0
5772,0
9224,0
3400,1
4441,1
2602,0
527,1
5784,0
5856,0
3493,1
1105,0
9171,1
173,0
2209,0
9628,1
3728,0
3456,1
9366,1
9600,1
2020,1
12133,0
7068,0
4780,1
3653,1
1771,1
3587,1
1475,0
3060,0
3543,1
9663,0
2449,1
200,1
4671,1
4848,1
67,1
7880,1
1225,1
12315,0
1701,1
1840,1
7171,0
7077,0
12633,0
4110,0
8576,0
8460,1
7129,1
4925,0
5362,1
3040,1
261,1
5035,1
6649,1
9212,0
8635,0
11514,0
10422,1
4579,1
9186,1
3680,1
153,0
6220,0
6958,0
11500,1
351,1
1039,1
1251,0
3036,0
8876,1
5054,1
1234,1
12276,1
9126,1
2693,0
10029,1
291,0
7902,1
10860,1
6376,0
4826,1
1515,1
3118,0
10150,1
7476,0
7327,1
3669,1
11314,0
10458,0
6792,1
11230,0
5079,1
8731,0
1185,1
5609,1
6062,0
11131,1
2221,0
10385,1
7989,1
11026,0
10974,1
1990,1
12534,1
5493,0
8520,1
6493,1
11066,1
5669,0
3449,1
12419,1
8094,1
3740,1
9616,0
9236,1
10349,1
8104,1
3432,0
1993,1
1056,1
10763,1
9469,1
11956,1
7763,0
11466,0
8070,1
9417,0
4071,0
2025,0
10813,0
1015,0
11896,0
3461,1
12117,1
9045,0
2717,0
12664,0
7821,1
8445,0
9865,1
11779,0
9364,1
10334,0
8253,0
4692,0
295,1
1657,0
9683,0
3080,0
4725,1
12087,1
3736,1
9708,1
11720,1
5625,0
7562,0
1378,1
11049,1
5064,1
11610,0
9801,1
11900,0
11164,1
3813,0
8434,0
8634,0
10940,1
1329,0
5348,1
11462,1
8301,1
4474,1
412,0
4833,1
729,0
5176,0
4074,0
2000,0
9647,1
3182,0
3776,0
10805,0
8624,0
5067,1
2586,1
4947,0
5255,0
11989,1
933,1
6305,1
2738,0
2703,1
5454,1
12421,0
9398,1
4034,0
7062,1
6423,1
2761,1
5233,1
6748,1
6259,1
7529,1
4540,0
9667,1
2159,1
8012,0
9178,0
3335,0
12331,0
2481,0
1045,1
6673,1
4873,1
694,0
11964,0
10098,1
12504,0
51,1
11140,1
1696,0
4412,0
8650,1
980,0
3847,0
1790,1
1265,0
6889,1
9879,1
6046,0
4337,0
12088,1
1742,0
1182,1
5998,0
4086,1
1333,0
5864,0
8572,1
10835,1
2931,0
4849,1
7917,1
11386,0
4381,1
8258,0
3169,0
1122,0
2037,1
3202,1
4871,1
10882,1
11473,0
7546,1
11809,0
54,1
5361,0
12567,0
12261,1
12196,1
12144,0
1322,0
479,1
3654,1
533,1
6842,0
9454,0
8493,0
803,0
3626,1
7783,1
9978,0
12146,0
4196,0
9863,0
10710,0
5463,0
9750,1
2605,1
2328,1
10723,0
861,0
4975,1
539,0
12537,0
2733,0
11177,1
2488,0
12283,1
11442,1
1926,1
6283,1
3296,0
6760,1
4778,0
3942,1
1484,0
9295,1
6925,1
9734,1
10427,1
12271,1
8746,0
5929,0
9278,1
6863,1
1140,0
12135,0
5629,1
963,0
4830,1
1147,0
10896,1
10324,1
11573,1
2498,1
10878,1
6803,0
5883,0
5942,1
2225,1
5773,1
6116,1
1693,1
4479,1
11496,0
1836,1
2165,1
687,1
3633,1
8541,1
3027,0
8102,0
8278,1
2306,0
10156,1
4881,0
12091,1
9095,0
10270,0
8693,1
10698,1
8271,0
12036,0
9716,1
9477,0
783,1
9783,0
6766,0
12106,1
7720,0
1737,0
409,1
9046,1
502,0
9955,1
9919,0
10431,1
5045,1
11253,1
7715,0
2065,1
1503,0
3473,0
9908,1
680,0
8422,0
7501,0
1442,1
8000,0
4179,0
4407,0
12631,1
891,1
11252,1
11885,1
8655,0
4045,1
10120,0
2026,1
3497,1
9165,0
9911,0
1526,1
2793,1
6224,1
11108,1
9854,1
10149,1
1700,0
7884,1
6659,0
6319,0
3617,0
10132,0
8928,0
3564,1
8782,0
3891,1
6041,0
11081,1
9887,0
6912,1
4460,0
10207,1
10598,1
4380,0
6629,1
11841,1
10913,1
481,1
2262,0
5957,0
9253,0
7436,0
4632,1
6073,1
1114,0
4365,1
11814,1
4443,1
6897,1
6522,1
7818,1
1433,0
3798,1
7680,0
4125,0
5710,1
6890,1
6603,1
9836,0
2636,1
11388,1
3332,1
12160,0
7746,0
5611,1
5279,1
2438,1
1626,1
4359,1
2077,1
9269,1
2285,0
8354,0
9623,1
12104,1
7251,1
4539,1
209,0
9249,0
9060,0
5313,0
6635,0
8184,1
10171,0
3944,0
7612,1
11810,1
5387,0
11764,1
5056,1
10861,1
4298,0
8099,0
8712,0
10308,0
9775,0
10283,1
485,1
4549,1
4658,1
11000,1
11957,1
9567,1
11358,1
2959,0
4306,1
10044,0
7,1
3198,1
5906,1
9377,1
8040,0
2614,0
12674,0
2345,0
2618,1
11354,1
1153,0
8325,1
5049,1
5201,0
9832,1
1800,1
6,1
12644,1
9626,1
6083,1
11726,1
10995,1
3063,0
2184,1
11694,0
5367,1
1161,0
4233,1
5933,1
4959,1
11022,0
11322,1
6848,0
5639,1
4976,0
6940,1
3054,1
2612,0
5938,1
8392,1
3883,0
5437,0
7165,0
5507,0
1438,0
6712,1
5882,0
1413,1
7009,0
7442,1
10330,0
8518,1
4156,0
5643,1
11881,1
10506,0
4404,1
2108,1
7921,0
7086,1
1290,0
1605,1
8927,0
9521,0
5358,0
7624,0
1081,0
4310,1
8062,0
70,1
12433,0
4987,1
5494,0
6807,0
12532,0
8605,1
953,1
9424,1
7248,1
11178,1
8531,1
5646,1
7408,0
12576,0
6125,0
2139,1
3614,0
6913,1
2913,0
5200,0
12166,0
10159,1
4709,1
11714,1
2850,0
2615,0
10354,1
3262,1
6843,0
1138,0
6693,1
3281,0
3757,1
9458,0
12384,1
2716,1
9729,1
10957,1
2851,1
5157,1
11707,1
12282,0
5560,1
3437,1
12253,1
4552,0
12563,1
3445,1
7701,0
9258,1
4623,1
5877,0
7923,1
11976,0
7523,0
8820,1
9679,0
3364,1
2172,1
2368,0
12322,0
5326,0
10083,1
9021,0
5759,0
7479,1
10364,0
2310,0
7139,0
10786,1
5108,1
12657,0
7419,1
5421,0
5186,0
12373,1
6163,1
12651,0
6700,0
8006,0
9066,1
12057,0
2429,0
2298,1
5185,0
5151,0
7618,1
10975,1
11142,1
9034,1
9966,0
1119,0
3164,1
8251,0
12014,1
9090,1
1793,1
8160,0
6377,0
4016,1
8756,0
11792,1
2642,1
12430,0
2102,1
3874,0
267,0
5925,1
12562,0
12642,1
4244,1
11767,0
3768,0
6983,0
194,0
2377,1
6294,0
8308,0
11939,1
6749,1
5722,1
10804,0
978,1
1705,1
12381,0
2348,0
9003,1
3611,1
3628,1
1369,1
4869,0
11979,0
7053,1
3691,1
11222,0
2478,0
2811,1
7908,1
8195,0
474,1
11409,0
3619,0
5923,1
6132,0
4131,1
6900,1
8076,0
9796,1
10011,0
8808,1
5743,1
8331,0
880,1
2829,1
6196,1
2911,1
2926,1
7402,0
3838,0
4664,1
11684,1
4318,1
3791,1
6391,1
11827,1
5939,0
1752,1
12406,1
3336,0
2047,1
10592,0
11571,1
3865,0
5110,1
5456,0
1049,0
1727,1
9538,1
10511,0
6226,0
11313,0
11493,1
8986,0
1555,1
2067,0
4864,0
3830,1
2644,1
9859,1
9376,1
2011,0
7956,0
12314,0
7706,1
8726,1
10187,0
12409,1
9137,0
7170,1
5439,1
917,1
7453,1
7145,0
5828,0
8376,1
9440,1
3536,1
6888,1
3173,0
12055,1
3319,0
12259,0
4528,0
2038,0
7544,0
4598,1
557,1
7227,1
1317,0
4032,1
991,1
8550,0
7711,1
10081,0
2870,1
5565,0
1959,0
510,0
5780,0
1889,1
11474,1
9896,1
10952,0
4653,0
470,1
7875,1
11406,0
1642,0
4276,0
12296,0
11264,1
1814,0
5642,0
10444,1
11801,0
8130,1
4408,0
3394,0
11608,1
8123,0
9703,1
418,0
8754,1
12308,0
10545,0
10647,1
984,1
7331,0
6311,1
2823,0
4328,0
2848,0
10750,0
11319,1
8026,1
287,0
723,1
5544,0
5032,1
5793,0
4068,0
6199,1
8783,1
10226,0
7272,0
875,1
3651,1
6595,0
314,0
4183,1
327,1
6092,1
12475,0
10746,1
7065,1
8069,0
1038,0
5284,1
5926,0
912,1
11225,0
8079,1
9701,1
7611,1
12255,1
1463,1
1021,0
559,1
4234,0
11175,0
5783,1
2078,1
4750,0
4101,1
4798,0
3585,1
2857,1
5790,0
1517,0
7750,1
10569,1
11266,1
5853,1
11586,1
6528,1
3631,1
12616,1
2372,1
12274,1
4185,0
6297,0
1865,0
11765,1
5977,1
7044,1
1050,0
12230,0
3403,0
900,1
7368,1
7885,1
4920,1
10573,0
7770,0
11393,1
5756,0
12215,1
7868,0
4291,1
7920,1
2242,0
290,0
6215,1
1048,0
8574,1
7285,1
3126,0
7839,1
12129,0
11486,0
10793,1
149,0
12484,1
2566,0
3566,0
5888,0
413,0
1647,0
7256,1
6152,1
2650,1
6647,1
7537,1
7739,1
11055,1
6389,1
9348,0
1331,0
4912,1
1304,1
3370,1
10807,0
7431,1
4013,1
9849,1
8175,1
3616,0
9745,0
2907,1
7809,1
10653,0
227,1
3112,1
3837,0
8430,1
12107,1
2682,0
2942,1
1728,0
6101,1
2795,1
12600,1
1721,1
191,1
246,1
4626,1
11372,1
10397,0
9964,0
6692,0
5556,1
6336,0
4387,1
6986,0
11355,0
8456,0
5448,1
9885,1
2655,1
5880,0
7051,0
9844,1
12304,0
10328,1
7999,1
3195,0
4582,1
132,1
1739,1
10720,1
9030,0
8412,1
11366,0
10172,1
6070,0
3804,0
5852,0
11510,0
11575,1
2039,1
4760,1
2635,1
11825,0
4846,0
6054,0
12173,0
9549,1
10271,0
12238,0
10288,0
3208,0
840,0
2789,1
1272,0
6122,0
3413,0
4763,0
2843,0
3790,1
5476,0
1922,1
5599,1
34,0
12018,1
2484,1
7267,1
1431,0
3879,1
3517,1
11923,0
1481,0
5890,0
1216,1
10216,0
1246,1
8644,1
3098,1
345,0
8598,0
9629,1
10315,1
9190,1
11070,0
10542,0
1816,0
7384,1
7212,0
12184,0
5392,0
9889,1
6351,1
6777,0
826,1
10260,0
5951,0
5694,1
9271,1
6879,1
11877,1
1960,1
4220,1
10570,1
8932,0
2287,0
7899,1
12297,1
589,1
3013,0
2815,1
3829,0
4762,1
2399,0
7856,0
8900,1
12659,0
4521,0
10531,0
8311,1
607,1
2013,1
7415,0
2056,1
11895,1
11294,0
11737,1
6201,1
3143,1
4673,1
6303,0
3171,0
5527,0
1735,1
8996,0
6121,0
1230,0
5623,0
2401,0
10108,1
6600,1
7167,1
3365,1
5325,0
3572,0
9866,1
10732,0
3136,0
9244,0
6289,1
10390,1
2645,1
8227,0
9437,1
1120,1
1636,1
5483,0
1668,1
8465,1
3022,0
9947,1
9263,1
6604,1
1891,0
12299,0
5301,1
4249,0
9938,0
12333,0
3809,0
10332,0
4117,0
11576,1
7235,0
9588,0
6943,1
10523,0
9574,1
11194,1
7417,0
11564,0
346,1
9044,1
11589,1
6223,0
9721,0
2232,0
9104,1
12432,1
690,1
6677,0
7953,0
3176,0
5697,1
2653,1
7015,1
500,1
7085,1
12310,0
5022,0
4172,0
11983,0
5529,0
751,1
7121,1
7049,1
1952,1
1008,0
11675,0
3756,1
4568,1
7101,1
9334,0
4157,0
6419,1
2303,1
2460,0
6651,0
710,1
988,1
74,1
7123,0
4535,0
2311,1
1760,1
11262,1
8540,0
9725,1
1129,0
9901,1
12105,1
12518,1
3610,0
6939,1
7653,0
10792,1
8590,1
2333,1
5485,0
6002,0
3442,0
5553,0
10900,0
9794,1
10307,1
12541,1
8680,1
1318,1
3321,0
9391,0
2407,0
10717,1
4908,1
1187,1
9953,1
2194,1
3476,1
4302,1
11132,1
3615,0
7568,1
9687,1
4481,1
11071,1
4785,0
8515,0
11051,1
2259,0
240,1
9332,1
9561,1
698,0
8801,1
142,1
4588,1
5952,1
9472,1
7539,0
2115,1
4120,0
9331,1
11691,0
8663,1
3287,0
5087,1
2924,1
7333,1
7003,1
3189,0
10705,0
899,1
11869,0
8261,0
252,0
11986,1
1839,1
718,1
8464,1
426,1
7677,0
2355,1
6550,0
5608,1
2122,1
911,0
2687,1
12351,0
4834,1
2728,0
806,1
4718,1
4852,1
5628,1
6972,0
12502,1
11917,1
1628,1
1843,1
7324,0
6422,1
9281,0
2491,1
1680,0
731,0
3417,1
9918,0
6609,1
3119,0
3807,0
695,0
8839,1
5766,0
862,0
1078,1
9010,0
5216,1
2314,0
4695,0
8073,0
8209,0
7668,1
1875,1
12546,1
3700,1
7181,0
11567,0
8753,0
1202,1
820,1
5546,1
7664,1
12139,0
9771,0
1504,0
2393,1
2884,0
6882,0
113,0
9070,0
12610,0
4601,0
11243,0
7609,1
6859,1
11263,1
9653,1
8626,1
4955,0
5069,1
6330,0
12131,0
5973,0
7862,1
3142,1
2243,1
774,1
8089,1
5792,0
2063,0
2834,0
5776,1
3324,0
6686,1
12627,1
6855,0
3853,0
4532,1
5052,1
2590,0
2455,1
3286,1
5139,0
1531,1
7226,1
8902,1
12,1
1564,0
5152,1
5664,0
430,1
3554,0
1982,1
10553,1
10313,1
10382,1
1867,0
3305,1
4964,1
6617,0
5663,1
3539,1
8387,1
550,0
12592,0
12009,1
959,1
6674,0
11696,1
11683,1
9081,1
2756,1
2420,1
11987,0
6316,0
7985,0
10376,0
12109,1
88,0
9312,0
1650,1
6606,0
10509,1
12312,0
1983,1
3643,1
4902,1
12560,1
7195,0
12353,0
6402,0
678,1
8610,0
11763,1
1160,0
12552,0
12640,0
954,0
10355,1
47,1
11145,0
12195,0
4222,1
12408,0
3678,1
12211,0
8398,1
4275,0
11382,0
11205,0
10586,0
3586,1
12382,0
1520,1
9143,0
1927,1
4764,1
7451,0
5725,0
4102,0
10530,0
2548,1
12543,0
7502,1
10085,1
6851,0
7851,0
12140,0
6727,1
8,1
4667,1
2718,1
12398,0
2565,0
1702,1
198,0
2346,1
517,0
9763,1
7394,0
6736,1
993,0
2334,1
5232,1
4945,1
12340,0
1976,1
2433,1
6153,1
2542,1
8683,0
5506,0
3605,0
10363,0
10614,0
5335,0
2719,1
1390,1
2190,1
4513,0
1518,0
5867,1
12231,0
8083,1
225,1
688,1
5796,0
10178,0
5097,0
4031,1
8561,1
10208,1
9520,1
371,1
6591,0
4395,1
9761,0
2723,1
6894,0
4498,0
3217,1
6688,1
3957,1
8537,1
4035,0
11060,0
8362,1
414,1
5498,1
3440,1
6266,1
10605,0
1784,1
5256,0
8682,1
1649,1
8632,1
5461,0
1196,1
69,1
